"id","name","address1","city","postcode","phone","org_type","cat_crime","cat_debt","cat_housing","cat_immigration_or_asylum","cat_welfare_benefits"
"63","Thomas and Sons","86 Long fork","New Maurice","ML4P 4EW","+44(0)1632 960 568","solicitor","0","1","0","0","1"
"64","Burns LLC","157 Buckley heights","East Rhys","B51 2QY","+44(0)1164960750","solicitor","1","0","1","1","1"
"65","Bibi-Todd","64 Martyn bridge","Brownland","N1 1GW","(0151)4960832","charity","1","1","1","1","0"
"66","Price, James and Palmer","73 Denise ferry","South Abigail","AL0 2NB","01184960732","solicitor","1","1","1","1","1"
"67","Russell PLC","04 Lawrence throughway","Saraside","S4T 3BG","(0151)4960717","charity","1","0","0","0","1"
"68","Smith Inc","254 Oliver spurs","Juliechester","E7 1AL","+44(0)114 496 0686","mediation","0","0","1","1","0"
"69","Mason, Winter and Griffiths","82 Atkins drive","Port Maxberg","SW45 1RH","(0113) 4960197","solicitor","1","0","0","1","1"
"70","Webster-Middleton","666 Marilyn estates","West Stewart","WS0M 8FU","+44141 4960595","solicitor","0","1","1","1","0"
"71","Carter Inc","41 Claire groves","North Kevinmouth","L37 0BX","(028)9018672","solicitor","0","0","0","0","0"
"72","Webb, Chapman and Cox","6 Barrett pass","Ireneshire","SM0Y 5NU","(0131) 4960154","solicitor","0","0","0","1","0"
"73","Riley-Dean","972 Clements lodge","Andreachester","N0W 9XQ","+44(0)1614960261","mediation","1","0","0","1","1"
"74","Harrison LLC","07 Scott harbor","New Billy","LL8 7JZ","(0306) 999 0341","solicitor","0","0","0","1","0"
"75","Hopkins and Sons","273 Suzanne station","South Ritafurt","CT3 4WP","+4428 9018670","charity","0","1","1","0","0"
"76","Ferguson-Mason","59 Davis ports","Parkerview","HA6 2QY","+44131 4960905","solicitor","0","0","1","0","1"
"77","Webster LLC","3 Butcher haven","West Rebeccaview","SR0A 5FT","(0116) 496 0074","mediation","0","0","0","0","1"
"78","Ward PLC","778 Rhys glen","South Victoria","BL16 8UB","(0113) 4960116","solicitor","1","0","0","1","0"
"79","Jones-Porter","80 Denis point","New Damian","B97 4UL","(01632) 960 243","charity","1","0","1","0","1"
"80","Hussain, Butler and Robertson","814 Brown fall","New Adrian","RH53 1FR","+44(0)306 999 0135","mediation","1","1","0","0","0"
"81","Clayton-Hughes","156 Josephine mall","Brettton","GY6R 6AT","0114 4960747","solicitor","0","0","1","1","1"
"82","Benson-Jones","835 Hilton crossing","East Emily","G09 8AD","(020) 7496 0603","private","1","1","0","0","0"
"83","Hughes, Fry and Bentley","1 Stewart estates","Hickstown","G81 6YG","(0808) 1570252","mediation","1","1","1","1","0"
"84","Barrett-Wilson","646 Neil springs","Lake Daniel","MK4R 2BA","0151 4960222","solicitor","1","1","0","0","1"
"85","Rose, Bell and Brown","14 Janet village","East Frederickborough","GL4 6LR","(0191)4960062","charity","0","0","1","1","1"
"86","Smith PLC","970 Fox trail","New Michael","EX87 8TF","01144960127","mediation","0","1","0","1","1"
"87","Taylor Group","6 Collins creek","South Justinfort","G22 3RG","+44113 496 0060","mediation","0","0","1","1","1"
"88","Baker, Hawkins and Webster","05 Jonathan forest","Julianshire","G7T 4ET","(0141) 4960473","mediation","0","1","1","1","0"
"89","Roberts-Harper","70 Davies islands","Brownville","SN5R 6WE","(0808) 1570773","mediation","1","1","1","0","1"
"90","Lane, Thomas and Green","404 Robin lakes","West Dorothyside","E62 6RU","+44(0)118 4960928","private","0","1","0","1","1"
"91","Doherty-Marshall","71 Margaret falls","Gregoryburgh","NP45 2LJ","(028)9018463","private","0","0","1","0","0"
"92","Clarke, Smith and Edwards","2 Turner wall","Port Colin","S0 9LJ","(0117) 496 0399","private","1","0","1","1","1"
"93","Rahman-Bartlett","609 Miller plaza","Jadehaven","ME94 4HP","+44(0)117 4960853","mediation","1","1","0","0","1"
"94","Jones-Smart","5 Grant corner","West Nigelborough","G09 3TT","+441214960047","solicitor","0","0","0","0","0"
"95","Mitchell-Davies","661 Warren via","South Melanie","W45 7HS","+44(0)113 4960987","solicitor","0","1","1","0","1"
"96","Griffiths, Wilson and Ward","9 Donnelly burgs","South Matthewfurt","BD1H 3BP","028 9018019","charity","0","1","1","0","0"
"97","Hill, Gibson and Wade","2 Timothy wall","North Tracy","TA27 6WY","+44121 4960181","mediation","0","1","0","0","0"
"98","Lee, Russell and Stephenson","826 Victor lights","West Gemmamouth","NN6 9PP","+44115 4960998","private","1","1","1","0","1"
"99","Wilson-Morris","08 Michelle lakes","South Stephanie","M2 7FY","(0118) 496 0735","private","0","0","1","1","1"
"100","Taylor, Wallis and Hall","53 Smith street","Janetmouth","BL41 9PL","(0117) 4960979","private","0","1","1","0","1"
